,0
MSSubClass,int64
MSZoning,object
LotFrontage,float64
LotArea,float64
Street,object
Alley,object
LotShape,object
LandContour,object
Utilities,object
LotConfig,object
LandSlope,object
Neighborhood,object
Condition1,object
Condition2,object
BldgType,object
HouseStyle,object
OverallQual,float64
OverallCond,float64
YearBuilt,float64
YearRemodAdd,float64
RoofStyle,object
RoofMatl,object
Exterior1st,object
Exterior2nd,object
MasVnrType,object
MasVnrArea,float64
ExterQual,object
ExterCond,object
Foundation,object
BsmtQual,object
BsmtCond,object
BsmtExposure,object
BsmtFinType1,object
BsmtFinSF1,float64
BsmtFinType2,object
BsmtFinSF2,float64
BsmtUnfSF,float64
TotalBsmtSF,float64
Heating,object
HeatingQC,object
CentralAir,object
Electrical,object
1stFlrSF,float64
2ndFlrSF,float64
LowQualFinSF,float64
GrLivArea,float64
BsmtFullBath,float64
BsmtHalfBath,float64
FullBath,float64
HalfBath,float64
BedroomAbvGr,float64
KitchenAbvGr,float64
KitchenQual,object
TotRmsAbvGrd,float64
Functional,object
Fireplaces,float64
FireplaceQu,object
GarageType,object
GarageYrBlt,float64
GarageFinish,object
GarageCars,float64
GarageArea,float64
GarageQual,object
GarageCond,object
PavedDrive,object
WoodDeckSF,float64
OpenPorchSF,float64
EnclosedPorch,float64
3SsnPorch,float64
ScreenPorch,float64
PoolArea,float64
PoolQC,object
Fence,object
MiscFeature,object
MiscVal,float64
MoSold,float64
YrSold,float64
SaleType,object
SaleCondition,object
